host=0x400007 parent=0x1 top_level=true mapped=false depth=24 geom=(1,1 1x1) leaf_id=Some(DrawableId(7)) redirected_target=Some(DrawableId(23)) resolved=Some(PaintTarget { id: DrawableId(23), offset: (0, 0) })
host=0x400008 parent=0x1 top_level=true mapped=false depth=24 geom=(0,0 10x10) leaf_id=Some(DrawableId(8)) redirected_target=Some(DrawableId(24)) resolved=Some(PaintTarget { id: DrawableId(24), offset: (0, 0) })
host=0x400009 parent=0x1 top_level=true mapped=false depth=24 geom=(0,0 200x200) leaf_id=Some(DrawableId(9)) redirected_target=Some(DrawableId(25)) resolved=Some(PaintTarget { id: DrawableId(25), offset: (0, 0) })
host=0x40000b parent=0x1 top_level=true mapped=false depth=24 geom=(-100,-100 1x1) leaf_id=Some(DrawableId(11)) redirected_target=Some(DrawableId(26)) resolved=Some(PaintTarget { id: DrawableId(26), offset: (0, 0) })
host=0x40000c parent=0x1 top_level=true mapped=false depth=24 geom=(-100,-100 1x1) leaf_id=Some(DrawableId(12)) redirected_target=Some(DrawableId(27)) resolved=Some(PaintTarget { id: DrawableId(27), offset: (0, 0) })
host=0x40000d parent=0x1 top_level=true mapped=false depth=24 geom=(-100,-100 1x1) leaf_id=Some(DrawableId(13)) redirected_target=Some(DrawableId(28)) resolved=Some(PaintTarget { id: DrawableId(28), offset: (0, 0) })
host=0x40000f parent=0x1 top_level=true mapped=false depth=24 geom=(-100,-100 1x1) leaf_id=Some(DrawableId(15)) redirected_target=Some(DrawableId(30)) resolved=Some(PaintTarget { id: DrawableId(30), offset: (0, 0) })
host=0x400016 parent=0x1 top_level=true mapped=true depth=24 geom=(-100,-100 1x1) leaf_id=Some(DrawableId(18)) redirected_target=Some(DrawableId(31)) resolved=Some(PaintTarget { id: DrawableId(31), offset: (0, 0) })
host=0x400017 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(19)) redirected_target=Some(DrawableId(32)) resolved=Some(PaintTarget { id: DrawableId(32), offset: (0, 0) })
host=0x40001a parent=0x1 top_level=true mapped=true depth=24 geom=(-200,-200 1x1) leaf_id=Some(DrawableId(22)) redirected_target=Some(DrawableId(35)) resolved=Some(PaintTarget { id: DrawableId(35), offset: (0, 0) })
host=0x40003e parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(51)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(51), offset: (0, 0) })
host=0x400043 parent=0x1 top_level=true mapped=true depth=32 geom=(0,0 2560x28) leaf_id=Some(DrawableId(71)) redirected_target=Some(DrawableId(72)) resolved=Some(PaintTarget { id: DrawableId(72), offset: (0, 0) })
host=0x400045 parent=0x1 top_level=true mapped=false depth=24 geom=(-1,-1 1x1) leaf_id=Some(DrawableId(56)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(56), offset: (0, 0) })
host=0x400050 parent=0x1 top_level=true mapped=true depth=32 geom=(0,1415 2560x25) leaf_id=Some(DrawableId(62)) redirected_target=Some(DrawableId(69)) resolved=Some(PaintTarget { id: DrawableId(69), offset: (0, 0) })
host=0x40005f parent=0x1 top_level=true mapped=false depth=24 geom=(0,0 10x10) leaf_id=Some(DrawableId(70)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(70), offset: (0, 0) })
host=0x400076 parent=0x40007f top_level=false mapped=true depth=32 geom=(0,0 24x24) leaf_id=Some(DrawableId(112)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(69), offset: (0, 1) })
host=0x40007d parent=0x400085 top_level=false mapped=true depth=32 geom=(0,0 78x27) leaf_id=Some(DrawableId(241)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(72), offset: (2376, 0) })
host=0x40007e parent=0x400082 top_level=false mapped=true depth=32 geom=(0,0 167x24) leaf_id=Some(DrawableId(1108)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(69), offset: (34, 1) })
host=0x40007f parent=0x400050 top_level=false mapped=true depth=32 geom=(0,1 24x24) leaf_id=Some(DrawableId(111)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(69), offset: (0, 1) })
host=0x400080 parent=0x400084 top_level=false mapped=true depth=32 geom=(0,0 106x27) leaf_id=Some(DrawableId(165)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(72), offset: (2454, 0) })
host=0x400081 parent=0x400083 top_level=false mapped=true depth=32 geom=(0,0 343x24) leaf_id=Some(DrawableId(340)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(69), offset: (2217, 1) })
host=0x400082 parent=0x400050 top_level=false mapped=true depth=32 geom=(34,1 167x24) leaf_id=Some(DrawableId(1107)) redirected_target=None resolved=Some(PaintTarget { id: DrawableId(69), offset: (34, 1) })
